Team, GamesPlayed, Wins, Losses, Ties, PCT, HammerEfficiency, ExtraEndHammer, ExtraEndSteal, Ends, PointsFor, PointsAgainst, PointsFor/Game, PointsAgainst/Game, AvgDiff, HammerPF/E, HammerPA/E, NoHammerPF/E, NoHammerPA/E, EndsFor/Game, EndsAgainst/Game, PointsFor/End, PointsAgainst/End, BigEnds/Game, StealDefence, ForceEfficiency, StealEfficiency 
P.N. Raju, 8, 5, 3, 0, 0.625, 0.24, 0, 0, 72, 66, 45, 9.17, 6.25, 2.92, 0.91, 0.41, 0.92, 0.82, 5.42, 3.61, 1.69, 1.73, 0.97, 0.24, 0.56, 0.47 
Joel Retornaz, 112, 81, 31, 0, 0.723, 0.50, 0, 0.3333333333333333, 825, 733, 455, 8.88, 5.52, 3.37, 1.35, 0.21, 0.47, 0.87, 4.91, 3.76, 1.81, 1.47, 1.33, 0.17, 0.57, 0.31 
Fabio Ribotta, 22, 5, 17, 0, 0.227, 0.28, 0, 0, 151, 88, 150, 5.83, 9.93, -4.11, 0.83, 0.60, 0.32, 1.41, 3.71, 5.23, 1.57, 1.90, 1.06, 0.35, 0.37, 0.20 
Vincent Roberge, 34, 21, 13, 0, 0.618, 0.48, 0, 0, 237, 206, 167, 8.69, 7.05, 1.65, 1.31, 0.27, 0.43, 1.13, 4.73, 4.30, 1.84, 1.64, 0.97, 0.20, 0.53, 0.28 
Sebastien Robillard, 36, 16, 20, 0, 0.444, 0.34, 1.0, 0, 262, 187, 205, 7.14, 7.82, -0.69, 1.05, 0.38, 0.35, 1.22, 4.24, 4.73, 1.68, 1.65, 1.03, 0.29, 0.45, 0.23 
Landan Rooney, 58, 27, 31, 0, 0.466, 0.37, 0.0, 0.5, 472, 334, 331, 7.08, 7.01, 0.06, 1.11, 0.31, 0.34, 1.06, 4.41, 4.28, 1.61, 1.64, 1.31, 0.24, 0.46, 0.24 
Ethan Sampson, 51, 22, 29, 0, 0.431, 0.35, 1.0, 0.0, 392, 271, 288, 6.91, 7.35, -0.43, 1.06, 0.35, 0.37, 1.07, 4.41, 4.16, 1.57, 1.77, 1.43, 0.21, 0.47, 0.25 
Hayato Sato, 58, 35, 23, 0, 0.603, 0.41, 0, 0, 429, 318, 268, 7.41, 6.25, 1.17, 1.14, 0.29, 0.36, 0.93, 4.06, 4.06, 1.83, 1.54, 1.89, 0.21, 0.55, 0.22 
Andrin Schnider, 54, 21, 33, 0, 0.389, 0.32, 1.0, 0, 376, 268, 308, 7.13, 8.19, -1.06, 0.98, 0.46, 0.41, 1.21, 4.36, 4.55, 1.63, 1.80, 1.09, 0.28, 0.41, 0.27 
Christof Schwaller, 7, 4, 3, 0, 0.571, 0.36, 0, 0, 49, 36, 38, 7.35, 7.76, -0.41, 0.96, 0.68, 0.43, 0.90, 4.29, 4.90, 1.71, 1.58, 0.82, 0.43, 0.58, 0.38 
Yannick Schwaller, 7, 4, 3, 0, 0.571, 0.36, 0, 0, 49, 36, 38, 7.35, 7.76, -0.41, 0.96, 0.68, 0.43, 0.90, 4.29, 4.90, 1.71, 1.58, 0.82, 0.43, 0.58, 0.38 
John Shuster, 73, 47, 26, 0, 0.644, 0.45, 1.0, 0, 544, 473, 350, 8.69, 6.43, 2.26, 1.30, 0.30, 0.44, 0.99, 4.80, 4.15, 1.81, 1.55, 1.05, 0.21, 0.54, 0.28 
Aaron Sluchinski, 63, 42, 21, 0, 0.667, 0.38, 0, 0.0, 435, 358, 254, 8.23, 5.84, 2.39, 1.20, 0.29, 0.48, 0.86, 4.99, 3.82, 1.65, 1.53, 1.20, 0.20, 0.58, 0.32 
Jack Smeltzer, 29, 16, 13, 0, 0.552, 0.34, 0, 0, 213, 155, 152, 7.28, 7.14, 0.14, 1.12, 0.44, 0.33, 0.99, 4.37, 4.51, 1.67, 1.58, 1.13, 0.30, 0.52, 0.25 
Greg Smith, 41, 20, 21, 0, 0.488, 0.40, 0, 0.0, 307, 234, 249, 7.62, 8.11, -0.49, 1.23, 0.38, 0.34, 1.20, 4.66, 4.59, 1.64, 1.77, 0.75, 0.23, 0.48, 0.23 
Riley Smith, 32, 15, 17, 0, 0.469, 0.36, 0, 0, 201, 143, 154, 7.11, 7.66, -0.55, 0.99, 0.42, 0.42, 1.12, 4.33, 4.68, 1.64, 1.64, 1.00, 0.28, 0.54, 0.26 
Yves Stocker, 73, 41, 32, 0, 0.562, 0.41, 0.6666666666666666, 1.0, 520, 393, 351, 7.56, 6.75, 0.81, 1.12, 0.31, 0.41, 1.01, 4.60, 4.06, 1.64, 1.66, 1.35, 0.22, 0.47, 0.29 
Karsten Sturmay, 88, 60, 28, 0, 0.682, 0.44, 0.0, 0, 624, 509, 380, 8.16, 6.09, 2.07, 1.23, 0.25, 0.43, 0.94, 4.89, 3.96, 1.67, 1.54, 1.15, 0.19, 0.60, 0.30 
Andrew Symonds, 28, 18, 10, 0, 0.643, 0.45, 0, 0, 198, 168, 128, 8.48, 6.46, 2.02, 1.35, 0.18, 0.37, 1.10, 4.65, 4.09, 1.83, 1.58, 1.26, 0.14, 0.46, 0.21 
Johnson Tao, 50, 29, 21, 0, 0.580, 0.35, 0, 0.0, 400, 288, 260, 7.20, 6.50, 0.70, 1.08, 0.33, 0.38, 0.95, 4.65, 4.08, 1.55, 1.60, 1.28, 0.21, 0.50, 0.28 
Brandon Tippin, 22, 5, 17, 0, 0.227, 0.16, 0, 0, 143, 77, 121, 5.38, 8.46, -3.08, 0.68, 0.63, 0.36, 1.11, 4.20, 5.24, 1.28, 1.61, 0.56, 0.43, 0.56, 0.31 
Daylan Vavrek, 31, 24, 7, 0, 0.774, 0.42, 1.0, 1.0, 241, 185, 136, 7.68, 5.64, 2.03, 1.08, 0.25, 0.45, 0.88, 4.69, 3.57, 1.64, 1.58, 1.74, 0.18, 0.57, 0.31 
Kyle Waddell, 51, 22, 29, 0, 0.431, 0.36, 0, 0, 366, 250, 263, 6.83, 7.19, -0.36, 1.01, 0.35, 0.34, 1.12, 4.13, 4.43, 1.66, 1.62, 1.45, 0.25, 0.51, 0.22 
Scott Webb, 34, 20, 14, 0, 0.588, 0.35, 1.0, 0, 257, 186, 177, 7.24, 6.89, 0.35, 1.07, 0.36, 0.36, 1.04, 4.44, 4.51, 1.63, 1.53, 1.05, 0.27, 0.54, 0.25 
Ross Whyte, 89, 59, 30, 0, 0.663, 0.45, 0.8571428571428571, 0.0, 655, 488, 388, 7.45, 5.92, 1.53, 1.13, 0.28, 0.31, 0.95, 4.26, 3.98, 1.75, 1.49, 1.76, 0.20, 0.56, 0.21 
Ryan Wiebe, 63, 45, 18, 0, 0.714, 0.36, 0, 0, 434, 334, 245, 7.70, 5.65, 2.05, 1.08, 0.21, 0.47, 0.91, 4.72, 3.59, 1.63, 1.57, 1.68, 0.15, 0.53, 0.30 
John Willsey, 33, 21, 12, 0, 0.636, 0.36, 0, 0.0, 242, 176, 152, 7.27, 6.28, 0.99, 1.07, 0.28, 0.41, 0.95, 4.59, 4.01, 1.59, 1.57, 1.41, 0.21, 0.57, 0.28 
Zackary Wise, 25, 13, 12, 0, 0.520, 0.33, 0, 0, 190, 134, 133, 7.05, 7.00, 0.05, 1.01, 0.34, 0.44, 1.02, 4.63, 4.26, 1.52, 1.64, 1.11, 0.26, 0.55, 0.31 
Harold Woods, 10, 0, 10, 0, 0.000, 0.10, 0, 0, 79, 38, 103, 4.81, 13.04, -8.23, 0.65, 0.88, 0.23, 1.97, 3.67, 6.33, 1.31, 2.06, 0.00, 0.50, 0.35, 0.16 
Riku Yanagisawa, 95, 64, 31, 0, 0.674, 0.45, 1.0, 0.5, 720, 556, 447, 7.72, 6.21, 1.51, 1.24, 0.23, 0.34, 0.98, 4.58, 3.93, 1.68, 1.58, 1.49, 0.17, 0.57, 0.23 
