Team, GamesPlayed, Wins, Losses, Ties, PCT, HammerEfficiency, ExtraEndHammer, ExtraEndSteal, Ends, PointsFor, PointsAgainst, PointsFor/Game, PointsAgainst/Game, AvgDiff, HammerPF/E, HammerPA/E, NoHammerPF/E, NoHammerPA/E, EndsFor/Game, EndsAgainst/Game, PointsFor/End, PointsAgainst/End, BigEnds/Game, StealDefence, ForceEfficiency, StealEfficiency 
Irene Schori, 59, 31, 28, 0, 0.525, 0.38, 0, 0, 438, 328, 320, 7.49, 7.31, 0.18, 1.07, 0.48, 0.43, 0.98, 4.36, 4.57, 1.72, 1.60, 1.07, 0.28, 0.58, 0.26 
Jennifer Scott, 7, 2, 5, 0, 0.286, 0.45, 0, 0, 50, 29, 39, 5.80, 7.80, -2.00, 1.00, 0.42, 0.19, 1.12, 3.60, 4.80, 1.61, 1.63, 1.60, 0.29, 0.47, 0.19 
Mandy Selzer, 15, 9, 6, 0, 0.600, 0.26, 0, 0, 112, 84, 81, 7.50, 7.23, 0.27, 0.94, 0.51, 0.51, 1.00, 4.20, 4.55, 1.79, 1.59, 1.25, 0.33, 0.50, 0.29 
Marla Sherrer, 39, 14, 25, 0, 0.359, 0.25, 0, 0.25, 284, 175, 216, 6.16, 7.61, -1.44, 0.81, 0.53, 0.41, 1.01, 4.15, 4.89, 1.48, 1.55, 0.95, 0.37, 0.53, 0.28 
Anne Shibuya, 4, 1, 3, 0, 0.250, 0.17, 0, 0, 31, 17, 38, 5.48, 12.26, -6.77, 0.67, 1.06, 0.38, 1.46, 3.55, 6.45, 1.55, 1.90, 0.00, 0.56, 0.30, 0.23 
Gayeong Shin, 4, 2, 2, 0, 0.500, 0.21, 0, 0, 35, 28, 17, 8.00, 4.86, 3.14, 0.94, 0.31, 0.68, 0.63, 4.86, 4.00, 1.65, 1.21, 1.14, 0.31, 0.67, 0.42 
Britta Sillaots, 10, 3, 7, 0, 0.300, 0.18, 0, 0, 68, 41, 69, 6.03, 10.15, -4.12, 0.75, 0.81, 0.44, 1.25, 4.26, 5.00, 1.41, 2.03, 0.74, 0.44, 0.22, 0.34 
Robyn Silvernagle, 43, 24, 19, 0, 0.558, 0.33, 1.0, 0, 335, 262, 219, 7.82, 6.54, 1.28, 1.04, 0.37, 0.51, 0.95, 4.75, 4.39, 1.65, 1.49, 0.87, 0.28, 0.55, 0.33 
Jamie Sinclair, 48, 31, 17, 0, 0.646, 0.45, 0.0, 0, 353, 319, 243, 9.04, 6.88, 2.15, 1.31, 0.38, 0.56, 0.95, 5.13, 4.02, 1.76, 1.71, 0.85, 0.23, 0.47, 0.35 
Kayla Skrlik, 49, 25, 24, 0, 0.510, 0.31, 0, 0.0, 382, 264, 257, 6.91, 6.73, 0.18, 0.98, 0.44, 0.42, 0.89, 4.42, 4.48, 1.56, 1.50, 1.10, 0.31, 0.61, 0.30 
