Team, GamesPlayed, Wins, Losses, Ties, PCT, HammerEfficiency, ExtraEndHammer, ExtraEndSteal, Ends, PointsFor, PointsAgainst, PointsFor/Game, PointsAgainst/Game, AvgDiff, HammerPF/E, HammerPA/E, NoHammerPF/E, NoHammerPA/E, EndsFor/Game, EndsAgainst/Game, PointsFor/End, PointsAgainst/End, BigEnds/Game, StealDefence, ForceEfficiency, StealEfficiency 
Miia Ahrenberg, 23, 10, 13, 0, 0.435, 0.31, 0.0, 0.5, 189, 140, 174, 7.41, 9.21, -1.80, 0.97, 0.64, 0.45, 1.28, 4.23, 5.13, 1.75, 1.79, 0.63, 0.37, 0.45, 0.27 
Gina Aitken, 4, 0, 4, 0, 0.000, 0.27, 0, 0, 25, 11, 34, 4.40, 13.60, -9.20, 0.91, 0.82, 0.07, 1.79, 3.20, 6.00, 1.38, 2.27, 0.80, 0.36, 0.18, 0.07 
Carla Anaka, 5, 2, 3, 0, 0.400, 0.40, 0, 0, 38, 31, 35, 8.16, 9.21, -1.05, 1.48, 0.19, 0.00, 1.82, 4.47, 5.26, 1.82, 1.75, 0.26, 0.14, 0.47, 0.00 
Sherry Anderson, 9, 6, 3, 0, 0.667, 0.31, 0, 0, 68, 46, 40, 6.76, 5.88, 0.88, 0.79, 0.37, 0.53, 0.87, 4.85, 3.82, 1.39, 1.54, 1.32, 0.24, 0.53, 0.43 
Sherry Anderson, 32, 19, 13, 0, 0.594, 0.34, 0, 0, 255, 208, 162, 8.16, 6.35, 1.80, 1.12, 0.33, 0.53, 0.92, 4.90, 4.27, 1.66, 1.49, 0.82, 0.24, 0.59, 0.33 
Olga Antonova, 4, 0, 4, 0, 0.000, 0.31, 0, 0, 29, 17, 35, 5.86, 12.07, -6.21, 0.93, 0.47, 0.21, 2.00, 3.45, 5.17, 1.70, 2.33, 1.38, 0.27, 0.18, 0.07 
Pam Appelman, 15, 5, 10, 0, 0.333, 0.25, 0, 0, 108, 66, 96, 6.11, 8.89, -2.78, 0.89, 0.56, 0.29, 1.25, 3.89, 5.28, 1.57, 1.68, 0.83, 0.35, 0.51, 0.20 
Lorraine Arguin, 3, 1, 2, 0, 0.333, 0.22, 0, 0, 22, 15, 19, 6.82, 8.64, -1.82, 1.00, 0.67, 0.46, 1.00, 5.45, 4.55, 1.25, 1.90, 0.00, 0.33, 0.29, 0.46 
Mary-Anne Arsenault, 25, 13, 12, 0, 0.520, 0.42, 0, 0, 208, 166, 140, 7.98, 6.73, 1.25, 1.12, 0.31, 0.50, 1.00, 4.76, 4.38, 1.68, 1.54, 0.87, 0.28, 0.48, 0.35 
Hannah Augustin, 18, 11, 7, 0, 0.611, 0.40, 1.0, 0.0, 149, 129, 90, 8.66, 6.04, 2.62, 1.19, 0.29, 0.59, 0.86, 4.97, 3.89, 1.74, 1.55, 1.14, 0.21, 0.55, 0.35 
Cathy Auld, 29, 14, 15, 0, 0.483, 0.34, 0, 0, 212, 167, 161, 7.88, 7.59, 0.28, 1.16, 0.46, 0.42, 1.06, 4.72, 4.81, 1.67, 1.58, 0.47, 0.30, 0.53, 0.30 
Courtney Auld, 4, 2, 2, 0, 0.500, 0.36, 0.0, 0, 31, 21, 20, 6.77, 6.45, 0.32, 1.07, 0.33, 0.31, 0.94, 4.52, 4.52, 1.50, 1.43, 0.97, 0.27, 0.50, 0.25 
Anastasia Babarykina, 9, 2, 7, 0, 0.222, 0.18, 0, 0, 66, 38, 59, 5.76, 8.94, -3.18, 0.69, 0.66, 0.45, 1.16, 3.64, 5.76, 1.58, 1.55, 0.61, 0.49, 0.52, 0.26 
Kelly Backman, 13, 3, 10, 0, 0.231, 0.20, 0, 0, 98, 63, 80, 6.43, 8.16, -1.73, 0.87, 0.62, 0.38, 1.04, 4.18, 5.31, 1.54, 1.54, 0.51, 0.40, 0.58, 0.24 
Ryleigh Bakker, 23, 5, 18, 0, 0.217, 0.18, 0.0, 0, 178, 102, 152, 5.73, 8.54, -2.81, 0.71, 0.72, 0.41, 1.01, 4.10, 5.17, 1.40, 1.65, 0.73, 0.43, 0.59, 0.30 
Heeeun Ban, 4, 0, 4, 0, 0.000, 0.04, 0, 0, 34, 8, 56, 2.35, 16.47, -14.12, 0.35, 1.30, 0.00, 2.36, 1.76, 7.65, 1.33, 2.15, 0.59, 0.74, 0.33, 0.00 
Brett Barber, 49, 22, 27, 0, 0.449, 0.28, 0, 0, 332, 232, 288, 6.99, 8.67, -1.69, 0.89, 0.58, 0.50, 1.17, 4.43, 4.88, 1.58, 1.78, 0.69, 0.36, 0.48, 0.33 
Kylee Barden, 5, 1, 4, 0, 0.200, 0.30, 0, 0, 44, 30, 41, 6.82, 9.32, -2.50, 1.00, 0.52, 0.39, 1.30, 4.32, 5.00, 1.58, 1.86, 0.68, 0.29, 0.38, 0.22 
Penny Barker, 50, 33, 17, 0, 0.660, 0.34, 1.0, 1.0, 414, 318, 266, 7.68, 6.43, 1.26, 1.05, 0.42, 0.52, 0.84, 4.86, 4.23, 1.58, 1.52, 0.92, 0.29, 0.59, 0.37 
Evelina Barone, 37, 22, 15, 0, 0.595, 0.39, 1.0, 0, 308, 261, 218, 8.47, 7.08, 1.40, 1.25, 0.39, 0.49, 0.99, 5.03, 4.45, 1.68, 1.59, 0.52, 0.25, 0.57, 0.33 
Madison Bear, 38, 18, 20, 0, 0.474, 0.35, 0, 0, 298, 233, 231, 7.82, 7.75, 0.07, 1.13, 0.46, 0.45, 1.08, 4.70, 4.56, 1.66, 1.70, 0.74, 0.29, 0.53, 0.31 
Emma Beaulac, 4, 0, 4, 0, 0.000, 0.00, 0, 0, 27, 11, 28, 4.07, 10.37, -6.30, 0.58, 0.75, 0.27, 1.27, 4.07, 5.19, 1.00, 2.00, 0.74, 0.33, 0.50, 0.27 
Adrienne Belliveau, 6, 2, 4, 0, 0.333, 0.39, 0.0, 0, 57, 36, 39, 6.32, 6.84, -0.53, 0.96, 0.52, 0.33, 0.83, 3.86, 4.21, 1.64, 1.63, 1.93, 0.33, 0.47, 0.27 
Damaris Berg, 5, 1, 4, 0, 0.200, 0.17, 0, 0, 38, 21, 39, 5.53, 10.26, -4.74, 0.70, 0.70, 0.39, 1.39, 3.68, 5.26, 1.50, 1.95, 1.05, 0.45, 0.36, 0.28 
Cheryl Bernard, 3, 0, 3, 0, 0.000, 0.36, 0, 0, 23, 14, 23, 6.09, 10.00, -3.91, 0.91, 0.82, 0.33, 1.17, 4.35, 5.22, 1.40, 1.92, 0.43, 0.45, 0.43, 0.33 
Veronica Bernard, 4, 1, 3, 0, 0.250, 0.43, 0, 0, 28, 21, 31, 7.50, 11.07, -3.57, 1.14, 0.71, 0.36, 1.50, 3.57, 6.07, 2.10, 1.82, 0.36, 0.50, 0.30, 0.21 
Lindsay Bertsch, 33, 16, 17, 0, 0.485, 0.29, 0.5, 0, 252, 169, 177, 6.71, 7.02, -0.32, 0.94, 0.44, 0.40, 0.97, 4.56, 4.44, 1.47, 1.58, 0.99, 0.30, 0.58, 0.29 
Shae Bevan, 5, 2, 3, 0, 0.400, 0.16, 0, 0, 40, 18, 41, 4.50, 10.25, -5.75, 0.65, 0.57, 0.18, 1.65, 3.50, 5.00, 1.29, 2.05, 1.50, 0.35, 0.33, 0.18 
Hailey Birnie, 13, 2, 11, 0, 0.154, 0.18, 0, 0, 108, 63, 112, 5.83, 10.37, -4.54, 0.81, 0.60, 0.32, 1.54, 4.26, 5.19, 1.37, 2.00, 0.56, 0.38, 0.35, 0.22 
Suzanne Birt, 43, 27, 16, 0, 0.628, 0.39, 0.0, 0, 344, 289, 214, 8.40, 6.22, 2.18, 1.19, 0.27, 0.49, 0.97, 4.77, 4.19, 1.76, 1.49, 1.05, 0.22, 0.52, 0.29 
Christina Black, 42, 32, 10, 0, 0.762, 0.41, 0, 0.0, 340, 285, 217, 8.38, 6.38, 2.00, 1.27, 0.31, 0.45, 0.94, 5.09, 4.29, 1.65, 1.49, 0.62, 0.22, 0.58, 0.32 
Lucy Blair, 18, 9, 9, 0, 0.500, 0.29, 1.0, 0, 150, 114, 118, 7.60, 7.87, -0.27, 0.95, 0.49, 0.57, 1.09, 4.53, 4.47, 1.68, 1.76, 1.00, 0.30, 0.41, 0.35 
Jade Bloor, 20, 6, 14, 0, 0.300, 0.23, 0.0, 0, 145, 86, 129, 5.93, 8.90, -2.97, 0.81, 0.52, 0.33, 1.33, 3.66, 5.17, 1.62, 1.72, 1.17, 0.33, 0.45, 0.14 
Santa Blumberga, 10, 5, 5, 0, 0.500, 0.45, 0, 0, 68, 55, 54, 8.09, 7.94, 0.15, 1.23, 0.49, 0.36, 1.12, 4.56, 4.85, 1.77, 1.64, 0.59, 0.31, 0.55, 0.27 
Sarah Boland, 16, 5, 11, 0, 0.313, 0.36, 0, 0, 132, 88, 101, 6.67, 7.65, -0.98, 1.03, 0.30, 0.32, 1.21, 4.24, 5.00, 1.57, 1.53, 0.76, 0.28, 0.52, 0.22 
Claire Booth, 23, 10, 13, 0, 0.435, 0.31, 0, 0.0, 193, 140, 149, 7.25, 7.72, -0.47, 1.00, 0.54, 0.48, 0.98, 4.66, 4.51, 1.56, 1.71, 0.83, 0.30, 0.46, 0.32 
Cathy Borys, 7, 1, 6, 0, 0.143, 0.24, 0, 0, 50, 28, 45, 5.60, 9.00, -3.40, 0.92, 0.54, 0.17, 1.29, 3.80, 5.60, 1.47, 1.61, 0.60, 0.38, 0.61, 0.17 
Natalie Boucher, 3, 2, 1, 0, 0.667, 0.20, 0, 1.0, 23, 15, 18, 6.52, 7.83, -1.30, 0.73, 0.82, 0.58, 0.75, 5.22, 4.35, 1.25, 1.80, 0.43, 0.45, 0.60, 0.58 
Emily Bowles, 12, 5, 7, 0, 0.417, 0.23, 0.0, 1.0, 112, 78, 76, 6.96, 6.79, 0.18, 1.00, 0.32, 0.42, 1.00, 4.73, 4.29, 1.47, 1.58, 0.98, 0.25, 0.49, 0.31 
Paige Bown, 4, 1, 3, 0, 0.250, 0.33, 0, 0, 28, 18, 23, 6.43, 8.21, -1.79, 1.08, 0.58, 0.31, 1.00, 4.64, 4.64, 1.38, 1.77, 0.71, 0.33, 0.44, 0.31 
Shelly Bradley, 14, 7, 7, 0, 0.500, 0.20, 1.0, 0, 100, 62, 77, 6.20, 7.70, -1.50, 0.84, 0.53, 0.41, 1.00, 4.70, 4.80, 1.32, 1.60, 0.50, 0.31, 0.58, 0.31 
Chelsea Brandwood, 23, 11, 12, 0, 0.478, 0.26, 0, 0, 170, 120, 127, 7.06, 7.47, -0.41, 1.01, 0.46, 0.39, 1.05, 4.59, 4.94, 1.54, 1.51, 0.47, 0.32, 0.57, 0.29 
Theresa Breen, 12, 4, 8, 0, 0.333, 0.29, 0, 0, 86, 59, 73, 6.86, 8.49, -1.63, 1.11, 0.38, 0.22, 1.37, 4.30, 5.00, 1.59, 1.70, 0.70, 0.27, 0.48, 0.17 
Jill Brothers, 34, 21, 13, 0, 0.618, 0.35, 0.0, 0, 296, 215, 197, 7.26, 6.66, 0.61, 1.10, 0.36, 0.36, 0.97, 4.53, 4.19, 1.60, 1.59, 1.28, 0.22, 0.60, 0.24 
Corryn Brown, 54, 33, 21, 0, 0.611, 0.38, 0, 0.0, 435, 330, 274, 7.59, 6.30, 1.29, 1.08, 0.32, 0.44, 0.94, 4.53, 4.32, 1.68, 1.46, 1.15, 0.24, 0.59, 0.27 
Kaila Buchy, 14, 11, 3, 0, 0.786, 0.48, 0, 0, 105, 98, 64, 9.33, 6.10, 3.24, 1.31, 0.31, 0.57, 0.89, 5.24, 4.00, 1.78, 1.52, 0.76, 0.24, 0.60, 0.39 
Linara Burganova, 4, 2, 2, 0, 0.500, 0.14, 0, 0, 28, 19, 25, 6.79, 8.93, -2.14, 0.50, 1.00, 0.92, 0.75, 4.29, 5.00, 1.58, 1.79, 0.71, 0.56, 0.40, 0.58 
Alyssa Calvert, 9, 3, 6, 0, 0.333, 0.32, 0, 0, 82, 51, 60, 6.22, 7.32, -1.10, 0.93, 0.49, 0.28, 1.00, 3.90, 4.63, 1.59, 1.58, 1.46, 0.33, 0.63, 0.21 
Chelsea Carey, 58, 37, 21, 0, 0.638, 0.35, 1.0, 0.0, 436, 356, 279, 8.17, 6.40, 1.77, 1.10, 0.41, 0.52, 0.87, 4.82, 4.27, 1.70, 1.50, 0.92, 0.29, 0.57, 0.35 
Daria Chmarra, 5, 0, 5, 0, 0.000, 0.00, 0, 0, 34, 13, 31, 3.82, 9.12, -5.29, 0.63, 0.47, 0.07, 1.47, 3.82, 5.88, 1.00, 1.55, 0.29, 0.37, 0.46, 0.07 
Jennifer Clark-Rouire, 21, 1, 20, 0, 0.048, 0.28, 0, 0, 172, 103, 171, 5.99, 9.94, -3.95, 0.97, 0.60, 0.20, 1.42, 3.60, 5.35, 1.66, 1.86, 1.05, 0.36, 0.40, 0.14 
Erica Cluff, 11, 6, 5, 0, 0.545, 0.35, 0, 0, 94, 69, 71, 7.34, 7.55, -0.21, 1.05, 0.48, 0.46, 1.00, 4.68, 4.36, 1.57, 1.73, 0.96, 0.36, 0.36, 0.34 
Kelly Cochrane, 3, 0, 3, 0, 0.000, 0.18, 0, 0, 19, 7, 23, 3.68, 12.11, -8.42, 0.58, 0.92, 0.00, 1.71, 2.11, 6.32, 1.75, 1.92, 1.58, 0.58, 0.00, 0.00 
Sandy Comeau, 4, 1, 3, 0, 0.250, 0.60, 0, 0, 26, 21, 27, 8.08, 10.38, -2.31, 1.45, 0.09, 0.33, 1.73, 5.38, 4.23, 1.50, 2.45, 0.38, 0.09, 0.20, 0.33 
Stefania Constantini, 42, 20, 22, 0, 0.476, 0.36, 1.0, 0.0, 341, 248, 245, 7.27, 7.18, 0.09, 1.01, 0.35, 0.44, 1.08, 4.25, 4.16, 1.71, 1.73, 1.58, 0.24, 0.47, 0.26 
Shiella Cowan, 20, 8, 12, 0, 0.400, 0.18, 0, 0, 157, 98, 113, 6.24, 7.20, -0.96, 0.87, 0.53, 0.40, 0.90, 4.46, 4.46, 1.40, 1.61, 1.08, 0.34, 0.50, 0.31 
Bella Croisier, 4, 1, 3, 0, 0.250, 0.14, 0, 0, 29, 13, 20, 4.48, 6.90, -2.41, 0.53, 0.71, 0.33, 0.67, 2.76, 5.17, 1.63, 1.33, 2.07, 0.53, 0.67, 0.25 
Elysa Crough, 45, 22, 23, 0, 0.489, 0.26, 0, 0, 350, 234, 250, 6.69, 7.14, -0.46, 0.87, 0.50, 0.48, 0.92, 4.26, 4.43, 1.57, 1.61, 1.31, 0.33, 0.57, 0.32 
Jennifer Crouse, 19, 9, 10, 0, 0.474, 0.42, 0, 0, 154, 109, 111, 7.08, 7.21, -0.13, 1.12, 0.31, 0.19, 1.24, 3.96, 4.87, 1.79, 1.48, 1.17, 0.24, 0.61, 0.12 
Erica Curtis, 13, 8, 5, 0, 0.615, 0.37, 0, 0, 89, 65, 58, 7.30, 6.52, 0.79, 1.09, 0.23, 0.39, 1.04, 4.61, 4.27, 1.59, 1.53, 1.12, 0.19, 0.50, 0.24 
Jessica Daigle, 20, 8, 12, 0, 0.400, 0.27, 0, 0, 158, 98, 111, 6.20, 7.03, -0.82, 0.84, 0.43, 0.37, 1.00, 4.24, 4.37, 1.46, 1.61, 1.39, 0.30, 0.55, 0.28 
Calissa Daly, 41, 14, 27, 0, 0.341, 0.25, 0, 0, 306, 194, 253, 6.34, 8.27, -1.93, 0.88, 0.51, 0.38, 1.15, 4.28, 4.80, 1.48, 1.72, 0.92, 0.33, 0.46, 0.29 
Janais DeJong, 7, 2, 5, 0, 0.286, 0.35, 0, 0, 59, 42, 56, 7.12, 9.49, -2.37, 0.97, 0.63, 0.33, 1.42, 3.90, 5.25, 1.83, 1.81, 0.85, 0.40, 0.29, 0.25 
Abby Deschene, 6, 4, 2, 0, 0.667, 0.30, 0, 0, 42, 29, 34, 6.90, 8.10, -1.19, 1.00, 0.57, 0.32, 1.11, 4.52, 5.48, 1.53, 1.48, 0.00, 0.35, 0.73, 0.21 
Emily Deschenes, 21, 13, 8, 0, 0.619, 0.35, 0, 0.0, 179, 147, 108, 8.21, 6.03, 2.18, 1.14, 0.30, 0.58, 0.83, 5.03, 4.30, 1.63, 1.40, 0.67, 0.26, 0.60, 0.37 
Parker Doig, 6, 1, 5, 0, 0.167, 0.11, 0, 0, 49, 32, 48, 6.53, 9.80, -3.27, 0.59, 0.74, 0.73, 1.27, 4.08, 5.71, 1.60, 1.71, 0.20, 0.52, 0.36, 0.32 
Hollie Duncan, 58, 37, 21, 0, 0.638, 0.43, 1.0, 0.0, 449, 390, 296, 8.69, 6.59, 2.09, 1.31, 0.30, 0.49, 0.98, 4.99, 4.28, 1.74, 1.54, 0.74, 0.22, 0.52, 0.31 
Wendy Dunne, 5, 2, 3, 0, 0.400, 0.26, 0, 0, 37, 30, 27, 8.11, 7.30, 0.81, 0.90, 0.55, 0.71, 0.94, 4.86, 4.86, 1.67, 1.50, 0.27, 0.40, 0.40, 0.41 
Madeleine Dupont, 54, 27, 27, 0, 0.500, 0.31, 1.0, 1.0, 452, 335, 333, 7.41, 7.37, 0.04, 1.06, 0.34, 0.40, 1.16, 4.49, 4.60, 1.65, 1.60, 0.91, 0.26, 0.49, 0.24 
Angelina Ebauyer, 11, 4, 7, 0, 0.364, 0.28, 0, 0, 88, 65, 96, 7.39, 10.91, -3.52, 0.92, 0.68, 0.50, 1.63, 4.32, 5.68, 1.71, 1.92, 0.00, 0.46, 0.37, 0.29 
Kerri Einarson, 81, 56, 25, 0, 0.691, 0.47, 0.6, 0, 653, 556, 400, 8.51, 6.13, 2.39, 1.34, 0.24, 0.40, 0.96, 4.69, 4.32, 1.82, 1.42, 1.00, 0.18, 0.63, 0.24 
Anastasia Eksuzian, 4, 0, 4, 0, 0.000, 0.06, 0, 0, 29, 15, 28, 5.17, 9.66, -4.48, 0.88, 0.38, 0.08, 1.69, 4.48, 5.52, 1.15, 1.75, 0.00, 0.25, 0.42, 0.08 
Krista Ellingson, 25, 11, 14, 0, 0.440, 0.35, 0, 0, 197, 148, 150, 7.51, 7.61, -0.10, 1.13, 0.48, 0.42, 1.01, 4.92, 4.47, 1.53, 1.70, 0.61, 0.29, 0.49, 0.34 
Viktoria Enbaeva, 4, 2, 2, 0, 0.500, 0.21, 0, 0, 27, 20, 21, 7.41, 7.78, -0.37, 1.07, 0.64, 0.38, 0.92, 4.44, 4.81, 1.67, 1.62, 0.74, 0.36, 0.63, 0.23 
Michelle Englot, 35, 20, 15, 0, 0.571, 0.33, 1.0, 0, 249, 211, 169, 8.47, 6.79, 1.69, 1.16, 0.43, 0.55, 0.91, 5.02, 4.42, 1.69, 1.54, 0.56, 0.31, 0.56, 0.34 
Beth Farmer, 38, 14, 24, 0, 0.368, 0.25, 0, 0, 284, 187, 242, 6.58, 8.52, -1.94, 0.88, 0.58, 0.43, 1.14, 4.08, 5.07, 1.61, 1.68, 0.85, 0.37, 0.51, 0.23 
Tracy Fleury, 73, 57, 16, 0, 0.781, 0.43, 1.0, 0.5, 601, 502, 368, 8.35, 6.12, 2.23, 1.22, 0.24, 0.44, 1.00, 5.09, 3.94, 1.64, 1.55, 0.97, 0.18, 0.54, 0.32 
Susan Froud, 18, 7, 11, 0, 0.389, 0.22, 0, 0, 135, 91, 117, 6.74, 8.67, -1.93, 0.92, 0.63, 0.41, 1.13, 4.37, 4.96, 1.54, 1.75, 0.67, 0.39, 0.54, 0.31 
Satsuki Fujisawa, 56, 37, 19, 0, 0.661, 0.43, 0, 0.0, 449, 363, 288, 8.08, 6.41, 1.67, 1.29, 0.25, 0.40, 0.98, 5.08, 4.03, 1.59, 1.59, 0.89, 0.16, 0.52, 0.30 
Kerry Galusha, 36, 23, 13, 0, 0.639, 0.37, 1.0, 1.0, 301, 248, 198, 8.24, 6.58, 1.66, 1.19, 0.36, 0.49, 0.92, 4.98, 4.39, 1.65, 1.50, 0.63, 0.26, 0.60, 0.34 
Irantzu Garcia, 13, 3, 10, 0, 0.231, 0.28, 1.0, 0, 112, 68, 115, 6.07, 10.27, -4.20, 0.97, 0.67, 0.19, 1.44, 3.84, 5.54, 1.58, 1.85, 0.63, 0.33, 0.50, 0.12 
Liz Garnett, 14, 4, 10, 0, 0.286, 0.34, 0, 0.0, 105, 69, 92, 6.57, 8.76, -2.19, 1.12, 0.31, 0.22, 1.41, 4.29, 4.95, 1.53, 1.77, 0.76, 0.24, 0.48, 0.19 
Hetty Garnier, 11, 7, 4, 0, 0.636, 0.48, 1.0, 1.0, 102, 83, 72, 8.14, 7.06, 1.08, 1.26, 0.32, 0.44, 1.04, 4.80, 4.41, 1.69, 1.60, 0.78, 0.21, 0.57, 0.27 
Amanda Gebhardt, 3, 1, 2, 0, 0.333, 0.17, 0, 0, 23, 13, 21, 5.65, 9.13, -3.48, 0.75, 0.67, 0.36, 1.18, 4.35, 5.65, 1.30, 1.62, 0.00, 0.42, 0.38, 0.27 
Eun ji Gim, 60, 39, 21, 0, 0.650, 0.38, 1.0, 0, 468, 364, 292, 7.78, 6.24, 1.54, 1.14, 0.30, 0.42, 0.95, 4.85, 4.17, 1.60, 1.50, 0.98, 0.22, 0.60, 0.31 
Julia Goodin, 3, 1, 2, 0, 0.333, 0.31, 0, 0, 24, 18, 21, 7.50, 8.75, -1.25, 1.07, 0.29, 0.30, 1.70, 4.58, 5.00, 1.64, 1.75, 0.42, 0.29, 0.13, 0.20 
Serena Gray-Withers, 32, 17, 15, 0, 0.531, 0.38, 0, 1.0, 260, 203, 197, 7.81, 7.58, 0.23, 1.13, 0.38, 0.40, 1.17, 4.62, 4.50, 1.69, 1.68, 0.88, 0.26, 0.49, 0.26 
Diane Gushulak, 16, 9, 7, 0, 0.563, 0.25, 0, 0, 130, 91, 84, 7.00, 6.46, 0.54, 0.97, 0.42, 0.46, 0.85, 4.62, 4.23, 1.52, 1.53, 1.15, 0.29, 0.57, 0.34 
Bella Hagenbuch, 5, 0, 5, 0, 0.000, 0.15, 0, 0, 33, 15, 50, 4.55, 15.15, -10.61, 0.70, 0.90, 0.08, 2.46, 3.33, 6.67, 1.36, 2.27, 0.00, 0.50, 0.33, 0.08 
Caroline Hains, 4, 2, 2, 0, 0.500, 0.23, 0, 0, 30, 18, 18, 6.00, 6.00, 0.00, 1.00, 0.46, 0.29, 0.71, 4.67, 4.67, 1.29, 1.29, 0.67, 0.31, 0.80, 0.29 
Jacqueline Harrison, 32, 18, 14, 0, 0.563, 0.36, 1.0, 0.0, 269, 204, 174, 7.58, 6.47, 1.12, 1.10, 0.37, 0.42, 0.93, 4.61, 4.46, 1.65, 1.45, 0.93, 0.30, 0.54, 0.30 
Michelle Hartwell, 9, 5, 4, 0, 0.556, 0.34, 0, 0, 82, 66, 61, 8.05, 7.44, 0.61, 1.15, 0.18, 0.49, 1.26, 5.00, 4.27, 1.61, 1.74, 0.73, 0.15, 0.38, 0.28 
Anna Hasselborg, 85, 58, 27, 0, 0.682, 0.40, 1.0, 0.25, 704, 528, 424, 7.50, 6.02, 1.48, 1.17, 0.21, 0.34, 0.98, 4.59, 4.08, 1.63, 1.48, 1.34, 0.17, 0.57, 0.25 
Emily Haupstein, 22, 7, 15, 0, 0.318, 0.22, 0, 0.0, 168, 125, 133, 7.44, 7.92, -0.48, 0.94, 0.59, 0.56, 0.98, 4.64, 4.76, 1.60, 1.66, 0.60, 0.37, 0.54, 0.34 
Heather Heggestad, 23, 12, 11, 0, 0.522, 0.31, 0, 0, 174, 128, 126, 7.36, 7.24, 0.11, 1.01, 0.49, 0.50, 0.93, 4.83, 4.20, 1.52, 1.73, 0.98, 0.30, 0.49, 0.35 
Laura Heinimann, 4, 0, 4, 0, 0.000, 0.00, 0, 0, 20, 4, 39, 2.00, 19.50, -17.50, 0.31, 1.31, 0.00, 3.14, 2.00, 8.00, 1.00, 2.44, 0.00, 0.69, 0.29, 0.00 
Fay Henderson, 30, 20, 10, 0, 0.667, 0.40, 0, 0.0, 240, 215, 158, 8.96, 6.58, 2.38, 1.30, 0.39, 0.55, 0.88, 4.79, 4.00, 1.87, 1.65, 1.21, 0.25, 0.56, 0.32 
Krysta Hilker, 37, 17, 20, 0, 0.459, 0.32, 0, 0, 270, 208, 211, 7.70, 7.81, -0.11, 1.08, 0.58, 0.45, 0.99, 4.41, 4.56, 1.75, 1.72, 1.04, 0.33, 0.51, 0.29 
Tanya Hilliard, 19, 7, 12, 0, 0.368, 0.20, 0.0, 0, 144, 86, 116, 5.97, 8.06, -2.08, 0.80, 0.61, 0.38, 1.01, 4.24, 4.93, 1.41, 1.63, 0.83, 0.37, 0.58, 0.29 
Sarah Hoag, 26, 9, 17, 0, 0.346, 0.26, 0, 0, 198, 125, 165, 6.31, 8.33, -2.02, 0.88, 0.57, 0.40, 1.08, 4.24, 4.85, 1.49, 1.72, 0.91, 0.35, 0.48, 0.29 
Annabelle Hof, 5, 1, 4, 0, 0.200, 0.27, 0, 0, 45, 36, 42, 8.00, 9.33, -1.33, 1.05, 0.45, 0.57, 1.39, 4.89, 4.89, 1.64, 1.91, 0.22, 0.32, 0.47, 0.30 
Amber Holland, 46, 26, 20, 0, 0.565, 0.32, 0, 0, 350, 266, 254, 7.60, 7.26, 0.34, 1.05, 0.37, 0.48, 1.07, 4.66, 4.57, 1.63, 1.59, 0.77, 0.28, 0.53, 0.31 
Natalie Hollands, 5, 1, 4, 0, 0.200, 0.17, 0, 0, 38, 23, 40, 6.05, 10.53, -4.47, 0.56, 1.11, 0.65, 1.00, 4.21, 5.53, 1.44, 1.90, 0.26, 0.61, 0.40, 0.45 
Rachel Homan, 69, 41, 28, 0, 0.594, 0.43, 0.5, 0, 553, 433, 354, 7.83, 6.40, 1.43, 1.19, 0.30, 0.40, 0.97, 4.72, 4.29, 1.66, 1.49, 0.99, 0.21, 0.59, 0.27 
Kathy Hopfner, 3, 0, 3, 0, 0.000, 0.00, 0, 0, 18, 4, 21, 2.22, 11.67, -9.44, 0.27, 1.00, 0.14, 1.43, 2.22, 7.22, 1.00, 1.62, 0.56, 0.64, 0.67, 0.14 
Erica Hopson, 8, 2, 6, 0, 0.250, 0.20, 0, 0, 50, 37, 47, 7.40, 9.40, -2.00, 1.00, 0.63, 0.43, 1.30, 3.60, 5.60, 2.06, 1.68, 0.80, 0.41, 0.35, 0.17 
Lauren Horton, 7, 1, 6, 0, 0.143, 0.05, 0, 0, 48, 25, 42, 5.21, 8.75, -3.54, 0.71, 0.52, 0.37, 1.15, 4.17, 4.79, 1.25, 1.83, 1.04, 0.29, 0.47, 0.22 
Ashley Howard, 44, 24, 20, 0, 0.545, 0.34, 0, 0.5, 335, 264, 209, 7.88, 6.24, 1.64, 1.05, 0.39, 0.57, 0.82, 4.81, 4.00, 1.64, 1.56, 1.19, 0.25, 0.54, 0.37 
